,age,job,marital,education,default,balance,housing,loan,contact,duration,campaign,pdays,previous,poutcome,deposit,tenencia_ahorros,tenencia_corriente,tenencia_cdt,tenencia_tdc,tenencia_lb,tenencia_vehiculo,ingresos,egresos,saldo_captacion,saldo_tdc,monto_trx_tdc,cantidad_trx_tdc,saldo_lb,saldo_veh,monto_trx_debito,cantidad_trx_debito
5990,48,admin.,single,secondary,0,467.1957787150704,1,1,unknown,571.4198277077968,3,-1,0,unknown,0,1.0,0.0,0.0,1.0,1.0,1.0,2572.8435541203157,2462.805226441317,15617.888921633712,13255.033565895796,2742.755771378408,27.27596565962197,-333.0182373600437,50972.31828762179,-1120.2814189953078,47.37067344461153
6066,31,admin.,single,,0,-261.67251612040525,1,1,unknown,249.14080788352877,5,-1,0,unknown,0,1.0,0.0,0.0,1.0,1.0,1.0,661.9401128418075,,14006.456990095416,8656.416178552568,2030.0493439624217,12.98695566107634,25406.939810574422,49246.47806928436,2355.165591972985,
6192,31,management,,tertiary,0,1202.4783693599475,1,1,cellular,279.0711022890872,3,-1,0,unknown,0,1.0,0.0,1.0,1.0,1.0,1.0,,-1022.5570484855398,10535.101433779553,601.2755873214401,2605.4867259223947,23.08574671677943,36150.77470812385,91745.54438539225,2231.8912906631685,32.08755648675421
7170,32,admin.,divorced,secondary,0,1695.0130832700631,1,1,unknown,130.4662918631148,1,-1,0,unknown,0,,1.0,0.0,1.0,1.0,1.0,,5692.352044757171,12722.5029867541,12708.623906093537,1188.7177691564486,17.700467232103577,40470.48051108328,55172.010188587796,5267.538884670875,-12.190038502632838
7195,50,blue-collar,married,primary,0,582.003261980579,1,1,cellular,73.83602385588038,3,-1,0,unknown,0,1.0,0.0,0.0,1.0,,1.0,,2456.785581553157,13136.366702871841,11515.462586615693,1945.6478659043846,36.33879879624489,48367.61557208248,35419.964298201594,800.2174653719385,2.8940635698918875
7553,36,admin.,married,,0,1998.827153773487,1,1,cellular,181.294027323051,2,174,3,failure,0,1.0,0.0,,1.0,1.0,1.0,3581.2411191448396,3160.551871028639,,2793.387934258458,601.3879518721166,31.190537088920507,30489.218200400377,61181.9849080366,2655.1435848991287,24.31978737127725
7886,44,services,divorced,secondary,0,-365.33575253764116,1,1,unknown,100.05440026059705,1,-1,0,unknown,0,1.0,0.0,0.0,1.0,1.0,1.0,3039.478840419096,2775.6191895930556,2523.477022101508,-7038.643916056368,1169.771818552905,,5763.41467945058,76318.82598404303,1244.2831641572566,10.764714361243243
8537,58,services,married,,0,1718.2664124014677,1,1,unknown,136.04351569383792,1,-1,0,unknown,0,1.0,0.0,1.0,1.0,1.0,,-2663.395493355742,-664.986619783286,13444.167590745088,9945.645460690526,1688.8059882535456,-2.5513263173217666,18372.575712462603,29182.663038038205,,2.2416705520437787
8773,33,management,single,,0,608.4844564114746,1,1,unknown,576.2371381495956,1,-1,0,unknown,0,1.0,0.0,0.0,,1.0,1.0,4511.659113754745,3737.7116236932916,9442.699829790776,-1232.759474467859,892.131934447411,-2.3503460023265923,59506.526238821025,92052.2638755092,4165.630427431644,7.283924044573853
9544,40,technician,married,tertiary,0,1079.9814246836124,1,1,cellular,293.3331153279265,2,-1,0,unknown,0,1.0,0.0,1.0,1.0,1.0,1.0,4477.70280017604,3649.1434949334102,16317.365619554685,,1351.1061836612635,17.843480114148562,41892.10298879021,85244.54017659827,798.7616455741577,12.529942181806103
10086,31,blue-collar,married,secondary,0,-105.65828870481158,1,1,cellular,317.03902153594066,3,-1,0,unknown,0,1.0,0.0,1.0,1.0,1.0,1.0,,,5381.590534286355,,321.19410575603285,49.393002127263486,33487.41838768107,74069.84148925231,5289.447419679229,33.876435697073966
10374,43,management,divorced,tertiary,0,78.04772161778386,1,1,unknown,39.72291272122037,8,-1,0,unknown,0,1.0,0.0,1.0,1.0,1.0,1.0,5164.794444773039,4073.894527034296,9494.110203308093,11092.482810699446,79.68951029847312,19.05333698245741,-6522.566461607079,85223.96657940352,4803.181441185591,
0,59,admin.,married,secondary,0,2408.074830167056,1,0,unknown,1048.2580398643925,1,-1,0,unknown,1,1.0,,0.0,1.0,1.0,1.0,4706.028209636627,4373.754457972154,3182.9764844657166,8770.261940935667,1800.5418379550092,31.644392356813768,37428.169859669404,40855.61994311867,4004.988677803736,26.806785088231514
17,49,services,married,secondary,0,69.02567847793236,1,0,unknown,1160.7392923386344,1,-1,0,unknown,1,1.0,0.0,0.0,1.0,1.0,1.0,1527.308686164968,,9692.54710405313,10296.291042346184,1231.8029067431798,,44795.02781731863,56559.07368547785,4801.711898528823,16.43727098342561
24,37,unemployed,single,secondary,0,410.48816422477,1,0,unknown,1006.3692266442725,2,-1,0,unknown,1,1.0,0.0,1.0,1.0,1.0,1.0,4783.301062926789,4616.002524269775,6678.374172570537,-2727.4773471982953,966.592879986743,17.687635530162943,33203.008520031624,33798.45584074607,1632.544281651334,26.36859747199096
39,23,entrepreneur,single,primary,0,50.31329323444056,1,0,unknown,423.44364285272064,2,-1,0,unknown,1,1.0,0.0,0.0,1.0,1.0,1.0,3571.7803257398723,3400.619445968691,10495.583877022826,-5362.675791100088,2531.4232687891335,44.5861127531822,20296.24967617638,52499.133770471555,2754.219548962704,32.23447731984773
82,33,blue-collar,single,secondary,0,-394.07308302777204,1,0,unknown,812.2345661727711,2,-1,0,unknown,1,1.0,0.0,0.0,,1.0,1.0,3584.20679339503,3276.0148742898245,9603.589695331848,7161.729617353565,2162.758062768491,2.459800525806557,26605.286362295923,74849.95306866922,1128.4611314818624,31.983104060610046
436,29,management,single,,0,1024.9633576112196,1,0,cellular,971.9316337282881,2,-1,0,unknown,1,1.0,0.0,0.0,1.0,1.0,1.0,3588.089069793874,3546.6805674558955,13301.434852700813,,2189.8739985071616,35.266258863386916,3589.6715940182476,48890.901248032635,2464.223840747968,2.4071484515779495
485,31,blue-collar,,,0,-211.08933599785442,1,0,telephone,1023.2758904697234,2,-1,0,unknown,1,1.0,,0.0,1.0,1.0,1.0,3884.3911975302517,,12220.649465003919,8806.238696238526,2772.789512871983,28.235386452600068,59341.18355555463,40759.16439665122,4060.710933476372,20.05907888852348
505,41,blue-collar,divorced,primary,0,,1,0,cellular,703.6478563751854,3,-1,0,unknown,1,1.0,0.0,0.0,1.0,1.0,1.0,2861.260529543404,,11071.706916605322,7643.792584709005,-80.16289014248605,6.587786183814009,11447.19935187904,36334.24203803585,1616.6784965493819,4.686310601573938
543,25,management,married,secondary,0,2266.0973941943207,1,0,cellular,769.5237608395535,1,-1,0,unknown,1,1.0,0.0,0.0,1.0,1.0,,2502.9966929578914,2265.0727144086527,11265.534995795726,7809.096963807251,1398.4394819072827,15.782148831714485,37541.11322999856,41205.108336569065,2206.4929462880455,15.58126196601738
550,47,technician,single,secondary,0,1130.384818996412,1,0,cellular,982.6303928997521,3,-1,0,unknown,1,1.0,0.0,0.0,1.0,1.0,1.0,2619.3764805011747,2364.099719080909,11906.852942794354,,2193.3625737625475,23.6319638134741,53382.08310929789,59645.39123027076,1625.6545997608011,-1.02473516609777
670,59,retired,married,primary,0,3424.6438307550384,1,0,cellular,529.8041900027038,3,-1,0,unknown,1,1.0,,1.0,1.0,1.0,1.0,5243.985023764493,5109.161178748783,12948.381281364977,14058.724009685351,-52.00652354863087,16.461568123217518,27017.43205666655,28715.310238212223,1309.5887170025608,
761,34,management,,tertiary,0,549.8626160748954,1,0,cellular,1349.6156477433185,4,-1,0,unknown,1,1.0,0.0,0.0,1.0,1.0,1.0,2956.479023983205,2769.8254928503984,8693.623795688754,4325.3472302939335,1722.6092830565392,35.8753242893836,19494.02242618118,66563.63953887857,1657.507738326362,15.271674995186167
774,37,technician,single,secondary,0,-192.37993796756703,1,0,cellular,1177.0927312399058,6,-1,0,unknown,1,1.0,0.0,1.0,1.0,1.0,1.0,2196.8040270294487,2049.9318389346977,13688.564252644539,7163.889167294473,1359.0840240421917,9.44185789482672,26949.083265531623,106474.46095907637,2974.670802162197,49.83613841285794
961,34,management,,,0,,1,0,cellular,660.933538565814,1,182,1,other,1,1.0,0.0,0.0,1.0,1.0,1.0,1963.4678394425541,1773.9428582380801,,9423.99619603758,1146.2798287936353,50.83182662857441,56882.373134633504,80777.2364961654,765.3793027294446,36.81180126516577
995,32,blue-collar,married,secondary,0,311.0324709345128,1,0,cellular,1748.464286250944,3,-1,0,unknown,1,1.0,1.0,0.0,1.0,1.0,1.0,,4168.492182126804,9909.585003845845,,1969.3497918686435,5.486041604023175,20013.6822270131,54628.60453387478,3468.8313956341844,
1017,53,blue-collar,married,primary,0,520.7940653132961,1,0,cellular,729.4314944219996,1,-1,0,unknown,1,1.0,0.0,,1.0,1.0,1.0,1191.498197382901,1065.7153762221144,10046.840387881233,,1540.16231607452,16.264469717374276,22526.796545533827,35146.38900562459,6319.604354219741,8.205390308026082
1042,46,blue-collar,divorced,primary,0,291.2613248173201,1,0,cellular,757.3971407973759,1,-1,0,unknown,1,0.0,1.0,0.0,1.0,1.0,1.0,4219.6290693893425,3970.8496160464565,9894.140632654988,8294.370154238617,1016.389049429953,,9050.693631068523,107388.7288287769,4484.088321154672,0.9920414182232697
1078,30,services,married,secondary,0,44.24493342915155,1,0,cellular,692.5468939195766,4,-1,0,unknown,1,1.0,0.0,0.0,,1.0,1.0,4831.85025304157,,13248.861693238463,3782.477582538988,322.7656063076173,11.38150797539693,17080.25458835937,61422.61713372881,2616.3288952767703,47.9846323581673
1252,37,services,,secondary,0,,1,0,cellular,162.27406296629874,2,-1,0,unknown,1,1.0,1.0,0.0,1.0,1.0,1.0,3225.4490393805536,2981.5999173854893,2728.5707914238037,7779.094060897835,739.5436685080392,13.653519202559533,20895.02402699931,42164.1218960581,1224.7420718303274,1.999140632062499
1322,31,management,divorced,,0,910.5852511874749,1,0,cellular,164.21003234903372,2,106,1,failure,1,1.0,0.0,1.0,1.0,1.0,1.0,,3308.2200569852907,9664.66323373501,3019.9340865939594,648.9292550628448,10.936869764313016,48030.82293299559,65345.633570689046,,-2.0650509255107465
1370,46,management,,tertiary,0,,1,0,cellular,181.9984271573981,2,-1,0,unknown,1,1.0,0.0,0.0,1.0,1.0,1.0,4594.644727585513,4406.722824995553,15277.216455357753,7784.058909636852,1693.6982454426616,17.537900263113404,33937.01168194903,118807.14382140758,6384.909202055493,17.420850335821385
1429,33,management,single,tertiary,0,369.52423264328087,1,0,cellular,1216.5531410598544,1,141,3,other,1,1.0,0.0,1.0,1.0,1.0,1.0,,5058.39575020647,9671.679253843622,4865.861209185829,-271.3327724602493,32.61421324165784,53150.386662067256,63364.45066948562,3101.615509552058,9.679531865274871
1433,30,services,,secondary,0,1298.8901306029195,1,0,cellular,118.97654731119057,4,320,8,other,1,1.0,0.0,0.0,1.0,1.0,1.0,4290.679946696528,4160.211799259204,8915.628679626041,5784.464589026191,1151.7958338884132,25.227980612674976,41382.08490146897,77281.68707180774,1726.0087068612934,25.083234825996996
1441,41,services,married,,0,858.727464540024,1,0,cellular,642.9777983606959,4,316,3,failure,1,1.0,0.0,0.0,1.0,1.0,1.0,2703.2690493280315,2481.0283500833048,14998.05069169801,10670.580262067433,80.21571323224089,31.48805443623927,43273.63221697325,68404.76895876318,3381.830969334932,14.091771097008188
1550,29,blue-collar,,,0,94.00765409436526,1,0,cellular,734.200441834026,4,-1,0,unknown,1,1.0,0.0,0.0,1.0,1.0,1.0,,1044.8861008147578,8770.325764040623,11470.786521537451,,,50997.65913721479,50137.00429818148,7200.510272957685,
1736,58,management,married,tertiary,0,4205.604768574449,1,0,cellular,785.813290042671,2,164,4,other,1,1.0,,0.0,1.0,,1.0,4531.821802137678,4337.506261580148,15423.66162066237,,1101.1615148014093,-17.75347412658499,33166.87132511575,50218.40377243943,3240.317904963258,16.28664296891314
1760,33,technician,single,tertiary,0,1704.5160932912227,1,0,cellular,594.6416007852496,1,66,1,success,1,1.0,0.0,1.0,1.0,1.0,1.0,2792.8862439150885,2633.0287281896044,6430.368393600712,16278.549149637303,1994.1739176576164,,30247.913509584236,54150.96146550621,4234.406219414838,-4.896676929210059
1800,44,services,married,secondary,0,-335.99489040132516,1,0,cellular,920.2126829326596,1,-1,0,unknown,1,1.0,0.0,0.0,1.0,1.0,1.0,,4822.492348692513,9827.671181299158,14413.915829713507,802.9827474844952,49.78646586755857,27201.315097328006,76425.44935310153,3600.3406399116548,46.54822825653292
1817,29,admin.,single,secondary,0,66.43250460519444,1,0,cellular,772.6916407113139,1,-1,0,unknown,1,1.0,0.0,1.0,1.0,1.0,1.0,1273.2914453308745,1046.982578880053,9646.622726226655,18875.166890705244,762.8635872354855,30.27125822159737,37385.04833904973,83491.53558848613,2295.500307012963,-4.792414647947776
1821,35,management,,,0,1006.7244540593358,1,0,cellular,1543.2782061956957,3,-1,0,unknown,1,1.0,0.0,1.0,1.0,1.0,1.0,1512.7553606344702,1370.3704443647994,8523.177598169392,6098.592820829923,508.39909731126363,25.314148567911968,28732.379588930555,86070.85827649961,714.9636039557195,3.283544453115077
1896,47,services,married,secondary,0,406.51971832761365,1,0,cellular,334.85218451751325,1,306,4,success,1,0.0,1.0,1.0,1.0,1.0,,3141.057389549989,2943.6734594295126,8027.2586694705915,,2131.2448107366567,4.021104609201313,25813.534176850648,67996.44510711925,2301.314555174245,28.52034798619907
1933,32,management,single,,0,46.73317299875666,1,0,cellular,590.2556962657721,1,-1,0,unknown,1,1.0,0.0,0.0,1.0,1.0,1.0,1538.7854746931262,,13965.862884899889,10313.613754065951,2505.3348227384686,37.08474495015446,39327.05256458359,84783.95259958039,2582.2115332504436,62.068264209016434
1934,34,management,single,tertiary,0,143.59869573546592,1,0,cellular,782.6534598344394,2,371,3,failure,1,1.0,0.0,0.0,1.0,1.0,1.0,,3862.739538476103,17663.563089710566,12309.744414526056,2273.097581090208,26.587041380406497,21002.932033937286,38876.85765209372,4173.246382364396,
1936,48,admin.,,secondary,0,158.16950241623516,1,0,cellular,1128.1173605903928,1,-1,0,unknown,1,1.0,0.0,0.0,1.0,1.0,1.0,3384.8020070252896,,9805.80715293078,,1253.8885467892749,-10.948712011903584,46851.182430329034,95080.30834653205,4677.96682774901,36.01103885613379
1964,35,blue-collar,,secondary,0,5040.933062439107,1,0,cellular,478.3311620962439,1,300,1,failure,1,1.0,0.0,0.0,1.0,1.0,1.0,4928.790747372442,4661.889755191463,2090.7728797008403,-455.2556588331481,334.5538670093738,,39818.70228880051,74362.03497170424,4862.204162607115,14.947281518268355
2042,40,blue-collar,married,primary,0,,1,0,cellular,917.3093162493068,4,-1,0,unknown,1,1.0,0.0,0.0,1.0,1.0,1.0,,3087.2818836257884,5306.965594059296,17843.321891331616,1060.6939498473826,16.336368642021398,47890.29101632041,73678.50810304991,3571.1746505085175,26.930523593471815
2055,33,admin.,single,secondary,0,,1,0,cellular,841.329551958304,1,-1,0,unknown,1,0.0,1.0,1.0,1.0,1.0,1.0,5682.484300519054,5408.996466851774,8902.510014807638,9554.191410752022,-262.1959535747742,44.57174199325131,36572.495209368564,57883.99203541044,4770.282328541456,56.38372157333341
2057,29,technician,single,secondary,0,733.3680617701004,1,0,cellular,1343.8708131797002,1,-1,0,unknown,1,1.0,0.0,1.0,1.0,1.0,1.0,,2728.991153434721,10537.150020171095,8086.690490106719,593.3846517629955,-7.905800374702629,46834.92482485638,91685.62284863996,1491.2041180066944,13.28465773052789
2485,58,self-employed,married,primary,0,,1,0,cellular,256.815917647862,1,461,1,failure,1,1.0,0.0,0.0,,1.0,1.0,2543.0159374410955,2404.9591681843413,,9656.616523539651,399.6319421895996,35.31607098243121,34852.91030402148,102554.87085982156,5505.736310466576,44.42072659282351
2556,49,technician,single,secondary,0,9196.38789461254,1,0,cellular,547.5276607811436,1,461,5,failure,1,1.0,0.0,,1.0,1.0,1.0,3723.5058958906657,3620.405215609709,,5371.672955074259,,28.815270636919394,36917.46149965526,121196.11138292852,4025.8596408360177,-2.7520555636945936
2628,48,technician,married,secondary,0,609.0572149469185,1,0,cellular,399.1503333263429,2,386,1,success,1,1.0,0.0,0.0,1.0,1.0,1.0,4611.967382144076,4400.414357422689,12482.48800231571,,1391.8608975926081,24.511480562584566,27074.13988686148,20898.102606332148,2403.8143297945685,39.05000107176049
2990,44,admin.,,secondary,0,797.6555443961249,1,0,cellular,385.62892928983564,2,105,5,success,1,1.0,0.0,0.0,1.0,1.0,1.0,4633.607486766933,4494.632370585794,11150.17697784588,114.79380483906789,3116.716131928977,19.984140534665556,44087.531162947314,45874.955837499365,3977.0362930749943,25.23644993246921
2994,31,technician,married,secondary,0,731.7328486093684,1,0,cellular,632.0141980289545,3,-1,0,unknown,1,1.0,0.0,0.0,1.0,1.0,1.0,2723.8952182335024,,2329.5299220595043,,737.3222986344318,25.473030409876216,850.1489149747067,64481.037944539254,2848.8565739578885,3.8143601477107474
3272,59,technician,married,secondary,0,7849.948881623543,1,0,cellular,1443.7527287381106,1,461,1,failure,1,1.0,,0.0,1.0,1.0,1.0,1337.6183027267662,,9804.577746041534,,1738.6508119631728,28.381093307605617,42799.21832933433,84532.7297912543,5263.2587749028535,7.781682962617261
3286,37,management,single,tertiary,0,1122.594504492666,1,0,cellular,352.4288869876932,1,152,2,success,1,1.0,0.0,0.0,1.0,1.0,1.0,1476.593402967831,1206.6169993936678,,5415.9162375563055,2674.778601742792,,57520.7643997453,68837.77852276494,6039.633632844398,21.60331838594227
3489,41,technician,,tertiary,0,1761.5672621959948,1,0,cellular,300.81053791820915,1,90,7,success,1,1.0,0.0,0.0,1.0,1.0,1.0,3377.8416022231827,3177.4395465193197,,4616.08124953906,1234.8218921018492,17.04859870952896,39269.783008805025,3378.3659569279116,7371.150813066322,20.026616273954918
3764,29,management,single,,0,993.1051099353558,1,0,cellular,419.6635573220001,2,-1,0,unknown,1,1.0,1.0,0.0,1.0,1.0,1.0,,5315.138226150057,8953.879231938294,7982.567298346751,,29.446638911920402,15991.28016560248,51426.28764640559,207.00732902372465,
3828,41,technician,single,tertiary,0,1652.6765858371123,1,0,cellular,187.7829114810264,3,92,8,success,1,1.0,0.0,0.0,1.0,1.0,1.0,5185.8926311176965,,8404.415594347382,793.0660684793002,3254.421923050737,26.77114542631798,56519.399224665394,83183.2899930029,111.7723891408209,66.67837746525086
4152,29,management,married,tertiary,0,85.86602411160646,1,0,cellular,1336.3211504317737,5,-1,0,unknown,1,1.0,0.0,0.0,1.0,1.0,1.0,2058.254885038134,1935.4059003396385,17849.50828014347,15306.297535252117,2690.5551043659443,-12.057742528725534,10401.988907339724,66442.65259020274,,19.885954231060158
4566,33,management,,tertiary,0,1325.8011120834349,1,0,cellular,690.2681828356463,3,330,1,failure,1,,0.0,0.0,1.0,1.0,1.0,3986.0233569030356,,16783.145366424014,7300.595455659526,,16.735423811209316,54200.42061844673,81336.31304873669,3320.074138895661,36.72751339695422
4602,35,blue-collar,single,secondary,0,961.2850676334867,1,0,cellular,636.9451824691752,6,-1,0,unknown,1,1.0,0.0,0.0,1.0,1.0,1.0,10.549837763597964,-164.45106015688117,14268.336488938252,-7603.850854678569,1341.9491429743764,22.244244786973574,22812.643518208803,53774.81200690994,,37.74451130718466
4743,52,blue-collar,,,0,,1,0,cellular,1524.2734050417673,1,-1,0,unknown,1,1.0,0.0,0.0,1.0,1.0,1.0,5741.434884346457,5479.303820073117,11940.229528543736,5905.43782050061,1643.5333706237536,41.020469678951855,42132.66540398523,54378.77406996007,3631.2698944832105,2.542453165017477
4776,49,admin.,single,tertiary,0,217.3339635252799,1,0,cellular,398.00952936336734,1,-1,0,unknown,1,1.0,1.0,0.0,1.0,1.0,1.0,1437.2477360775747,1132.5088914596336,13752.30485725426,11089.189027135064,360.6313614388141,-8.322400634653103,36769.26024060256,65223.71894767196,-1044.4024316480059,10.793268830561123
4911,34,admin.,married,,0,88.81387962114884,1,0,cellular,1832.375644856592,2,287,3,other,1,1.0,0.0,1.0,1.0,1.0,,3298.7965420519895,2957.3040759717724,13754.767386978183,-7726.069814847991,2090.2845482139155,,35798.08717699637,71481.44612183118,2387.5919747432563,40.31461403944714
4938,41,technician,married,tertiary,0,141.83923927821738,1,0,cellular,834.7896650229931,1,-1,0,unknown,1,1.0,0.0,0.0,1.0,1.0,1.0,1668.277609895528,1423.8177383994348,6727.58697183772,7510.579882089802,255.6260187463555,20.96911357501256,17228.165152037596,65552.39216354955,4655.949285214492,27.980508482060834
4945,39,blue-collar,married,,0,,1,0,cellular,684.2002339352321,2,-1,0,unknown,1,,0.0,0.0,1.0,1.0,1.0,2199.1027641164105,2028.97917766244,7536.601500972864,12118.895840789875,1773.654927507746,4.814022125462666,24227.516267508145,63332.24208260885,3460.189470728767,10.247560304824356
5034,32,blue-collar,married,secondary,0,,1,0,cellular,306.0040922149318,4,188,1,failure,1,1.0,0.0,1.0,1.0,,1.0,,1098.5879250383157,9400.902290228621,,131.7352467605399,2.1330537704829666,40825.669381690386,41221.455983907144,4524.02236062405,54.27211475835349
5122,43,blue-collar,married,primary,0,3107.330155721689,1,0,cellular,2471.669758205163,2,-1,0,unknown,1,1.0,0.0,1.0,,1.0,1.0,,,10240.907812044814,5495.013063595014,873.0594972986913,20.539747770801647,39127.72047727274,70571.78601698574,2555.3437147792815,11.886184888592496
5134,32,management,,,0,45.97725793210007,1,0,cellular,113.89150852631073,2,-1,0,unknown,1,1.0,0.0,0.0,1.0,1.0,1.0,2512.365683104124,2417.396036856215,13817.285332541676,-4197.360711998792,,-7.783890152707645,28960.069549642758,63410.99558776023,2598.483862140005,15.374976610361852
5292,34,admin.,single,secondary,0,728.5968417296485,1,0,cellular,121.75087762846019,1,260,2,failure,0,1.0,0.0,0.0,1.0,1.0,1.0,5019.606842927598,4794.449523368227,,8472.152299044117,1325.2704215330148,15.865643751414606,27015.027242944132,91625.54942153375,3373.1227819765686,43.5481460346594
5310,57,services,divorced,primary,0,,1,0,cellular,21.877782056624284,4,-1,0,unknown,0,1.0,0.0,1.0,1.0,1.0,,,2711.6076655468796,6416.837721362241,6084.314847510086,,22.407027391086498,57997.07062728188,93569.7006372422,3820.1032944165127,6.601076154497257
5319,48,management,divorced,tertiary,0,,1,0,cellular,515.9637380391267,2,-1,0,unknown,0,0.0,1.0,0.0,1.0,1.0,1.0,3358.7522191298212,3257.052565335055,7955.5102393565685,14581.08888713685,102.70901599575541,,23715.931534828153,65184.37968955043,3396.5994402535393,21.293678810815646
5370,32,self-employed,divorced,tertiary,0,3748.570259374224,1,0,cellular,45.1852799177212,1,353,3,other,0,1.0,0.0,0.0,1.0,1.0,1.0,4024.7352714394156,3795.3907737191976,14539.480493896155,5917.940305330487,430.13153499955524,28.348128412297942,40118.560604340055,49492.021397476805,3238.0172916149177,11.021902055747233
5378,54,management,divorced,,0,158.88013141132907,1,0,unknown,187.23939390936437,1,-1,0,unknown,0,1.0,0.0,0.0,,1.0,1.0,3365.1998353719623,3194.0023059762943,11649.598520392821,-1214.5132527513488,1933.102460459521,9.664190614342706,51913.38570694617,42115.548591281775,1658.6754274219388,29.72042263623709
5396,55,retired,,tertiary,0,,1,0,cellular,535.0498849439044,1,103,1,failure,0,1.0,1.0,0.0,1.0,1.0,1.0,3120.0457751634995,,9123.726825233412,13542.535814383791,,17.371601513799195,38887.092021360295,71857.84191379516,,20.123327535655267
5411,44,unemployed,married,,0,1204.654638129743,1,0,unknown,162.15122423102105,2,-1,0,unknown,0,1.0,0.0,1.0,1.0,1.0,1.0,3111.569211432896,2978.3742849793516,9589.015454314327,20108.73111404218,,14.09896815433725,55568.91257058611,62165.521913759665,3243.642541982874,41.704813655106264
5427,35,technician,married,secondary,0,923.8845172373576,1,0,cellular,307.65928630917784,4,-1,0,unknown,0,1.0,0.0,1.0,1.0,1.0,1.0,3440.1333110558953,3145.287281656131,13428.428998617583,13723.953381310088,3709.0400948136466,45.08052386904876,16223.39942549961,50372.09708400988,5258.967815823839,7.9145935341051015
5461,34,entrepreneur,married,tertiary,0,206.9675363970452,1,0,telephone,71.26650539336364,6,-1,0,unknown,0,1.0,0.0,1.0,1.0,1.0,1.0,2156.7433236798033,1943.5973864551436,10413.343095616212,15889.644725108155,1640.870863910389,-9.070143661240436,23777.29648067647,42639.97636945238,5397.835759803014,-15.65083937336626
